Portfolio,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean,VaR95_Pct,VaR99_Pct,ES95_Pct,ES99_Pct
Straddle,13.370000000000001,1.592871796623693,1.5997419347123447,1.602794688852792,1.6030990765678081,3.078994654081613,-1.6032637067865023,28.668303670122874,0.7153212693539146,0.11913775591800245,0.11987993185136812,0.11965160319464058,0.11990269832219955
SynLong,1.0499999999999998,15.023976533704161,18.700334622409468,21.204179104465354,23.980354155892528,9.574152962421559,-32.376420182538205,40.9258841985317,0.08568502032875361,14.30854907971825,20.194456289967007,17.80984249753283,22.838432529421457
CallSpread,4.54,3.5134518275835367,3.8852463200167477,4.137626808387925,4.279217723074801,2.2339612051670508,-4.500966478521301,5.345738389233013,-0.11151730790605416,0.7738880677496777,0.9113715436977807,0.8557811277569929,0.9425589698402645
PutSpread,3.17,2.4893741970125944,2.736562843361834,2.8949354572390558,2.9770188487363805,1.911936721943908,-3.148486094576123,6.381965003731157,0.19944637079472766,0.7852915447989257,0.9132288508640555,0.8632690357608309,0.9391226652165239
Stock,170.15,14.863014155025724,18.55488477389716,21.06971656412432,23.855287851445105,9.578069343775516,-32.271881090459715,41.070490268367024,0.27715547613462915,0.08735241936541711,0.12383024721789197,0.10905016029325396,0.14020151543605702
Call ,7.21,6.021447636742741,6.470394672073275,6.770883827382579,6.929385139754149,5.510294935023226,-7.169862726695339,34.797093934327286,0.4005031448413381,0.8351522381057894,0.9390962312597196,0.8974195106897747,0.9610797697301177
Put ,6.16,5.113415501360858,5.5029169534199145,5.750380994688387,5.874333880580804,4.495437269377887,-6.128790264204413,25.206557455842866,0.31481812451257846,0.8300999190520874,0.9335034082286342,0.8933306742564796,0.9536256299644162
CoveredCall,165.52,10.726336014093256,14.208218354227109,16.58641790779169,19.31199415650468,5.57598324042321,-27.650032563473104,8.645192194700833,-0.20263112764337632,0.06480386668736864,0.10020793806060713,0.08583988855864613,0.11667468678410271
ProtectedPut,174.47,7.774950417405968,8.587278524380901,9.141119043761542,9.48572037078734,6.458645243266674,-10.088471946339105,36.76742292980882,0.4929763169666235,0.044563251088473484,0.05239364385717626,0.04921922694091191,0.054368776126482145
Total,545.6400000000001,42.243489948262166,47.93853604827934,51.78916219724509,55.20699900409977,33.84177300996729,-64.43241779930523,186.942849226311,2.171757287383135,0.07742007541284025,0.09491452642263229,0.08785744455736261,0.10117843084103027
